"game","date","age","team","opp","result","mp","fg","fga","fgp","three","threeatt","threep","ft","fta","ftp","orb","drb","trb","ast","stl","blk","tov","pts","game_score"
"21","1986-12-13 00:00:00.000","23-299","CHI","MIL","L (-23)","31:00","3","17","0.176","0","0","","5","8","0.625","0","4","4","2","0","1","2","11","-0.4"
"20","1986-12-12 00:00:00.000","23-298","CHI","MIL","W (+13)","39:00","16","24","0.667","0","0","","9","11","0.818","0","5","5","3","2","0","2","41","31.4"
"19","1986-12-10 00:00:00.000","23-296","CHI","ATL","L (-28)","39:00","15","25","0.6","0","0","","11","12","0.917","2","2","4","4","3","0","3","41","32.7"
"18","1986-12-09 00:00:00.000","23-295","CHI","DEN","W (+6)","42:00","16","30","0.533","0","0","","8","9","0.889","2","4","6","6","3","4","3","40","33.4"
"17","1986-12-06 00:00:00.000","23-292","CHI","SAS","L (-9)","44:00","18","38","0.474","0","2","0","7","7","1","5","0","5","3","1","1","2","43","27.3"
"16","1986-12-05 00:00:00.000","23-291","CHI","PHO","L (-2)","41:00","15","37","0.405","0","0","","13","17","0.765","2","2","4","2","3","1","1","43","27.2"
"15","1986-12-03 00:00:00.000","23-289","CHI","UTA","L (-5)","40:00","17","33","0.515","0","2","0","11","13","0.846","0","3","3","3","6","1","2","45","34.4"
"14","1986-12-02 00:00:00.000","23-288","CHI","SEA","W (+6)","48:00","13","30","0.433","0","0","","14","15","0.933","5","4","9","6","3","6","4","40","34.7"
"13","1986-11-29 00:00:00.000","23-285","CHI","GSW","L (-7)","42:00","11","30","0.367","0","1","0","18","19","0.947","3","2","5","6","4","0","2","40","30.7"
"12","1986-11-28 00:00:00.000","23-284","CHI","LAL","L (-7)","45:00","19","43","0.442","0","1","0","3","4","0.75","8","2","10","3","1","1","3","41","23.5"
"11","1986-11-26 00:00:00.000","23-282","CHI","DEN","L (-2)","41:00","13","31","0.419","0","0","","11","14","0.786","2","7","9","3","1","3","2","37","24"
